B-nibble mapping (lane, word, nib) -> (n, k_lo, k_hi):
  B lane28 w0: j0:n12,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  B lane28 w1: j0:n12,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  B lane29 w0: j0:n13,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  B lane29 w1: j0:n13,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  B lane30 w0: j0:n14,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  B lane30 w1: j0:n14,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  B lane31 w0: j0:n15,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  B lane31 w1: j0:n15,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
A-nibble mapping (lane, word, nib) -> (m, k_lo, k_hi):
  A lane 0 w0: j0:m0,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane 0 w1: j0:m0,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane 1 w0: j0:m1,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane 1 w1: j0:m1,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane 2 w0: j0:m2,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane 2 w1: j0:m2,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane 3 w0: j0:m3,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane 3 w1: j0:m3,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane 4 w0: j0:m4,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane 4 w1: j0:m4,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane 5 w0: j0:m5,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane 5 w1: j0:m5,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane 6 w0: j0:m6,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane 6 w1: j0:m6,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane 7 w0: j0:m7,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane 7 w1: j0:m7,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane 8 w0: j0:m8,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane 8 w1: j0:m8,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane 9 w0: j0:m9,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane 9 w1: j0:m9,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane10 w0: j0:m10,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane10 w1: j0:m10,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane11 w0: j0:m11,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane11 w1: j0:m11,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane12 w0: j0:m12,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane12 w1: j0:m12,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane13 w0: j0:m13,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane13 w1: j0:m13,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane14 w0: j0:m14,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane14 w1: j0:m14,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane15 w0: j0:m15,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane15 w1: j0:m15,k1,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane16 w0: j0:m0,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane16 w1: j0:m0,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane17 w0: j0:m1,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane17 w1: j0:m1,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane18 w0: j0:m2,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane18 w1: j0:m2,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane19 w0: j0:m3,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane19 w1: j0:m3,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane20 w0: j0:m4,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane20 w1: j0:m4,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane21 w0: j0:m5,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane21 w1: j0:m5,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane22 w0: j0:m6,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane22 w1: j0:m6,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane23 w0: j0:m7,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane23 w1: j0:m7,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane24 w0: j0:m8,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane24 w1: j0:m8,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane25 w0: j0:m9,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane25 w1: j0:m9,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane26 w0: j0:m10,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane26 w1: j0:m10,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane27 w0: j0:m11,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane27 w1: j0:m11,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane28 w0: j0:m12,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane28 w1: j0:m12,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane29 w0: j0:m13,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane29 w1: j0:m13,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane30 w0: j0:m14,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane30 w1: j0:m14,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane31 w0: j0:m15,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
  A lane31 w1: j0:m15,k2,0 | j1:None | j2:None | j3:None | j4:None | j5:None | j6:None | j7:None
